2025-10-09 19:24:30.807 [info] Reading sessions from keychain...
2025-10-09 19:24:32.545 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.092 [info] Got stored sessions!
2025-10-09 19:24:35.093 [info] Got 1 verified sessions.
2025-10-09 19:24:35.093 [info] Got 1 sessions for ...
2025-10-09 19:24:35.107 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.107 [info] Got 1 sessions for ...
2025-10-09 19:24:35.108 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.108 [info] Got 1 sessions for ...
2025-10-09 19:24:35.108 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.108 [info] Got 1 sessions for ...
2025-10-09 19:24:35.108 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.108 [info] Got 1 sessions for ...
2025-10-09 19:24:35.122 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.123 [info] Got 1 sessions for ...
2025-10-09 19:24:35.129 [info] Getting sessions for all scopes...
2025-10-09 19:24:35.129 [info] Got 1 sessions for ...
2025-10-09 19:24:38.032 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.032 [info] Got 1 sessions for ...
2025-10-09 19:24:38.032 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.033 [info] Got 1 sessions for ...
2025-10-09 19:24:38.044 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.044 [info] Got 1 sessions for ...
2025-10-09 19:24:38.045 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.045 [info] Got 1 sessions for ...
2025-10-09 19:24:38.045 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.045 [info] Got 1 sessions for ...
2025-10-09 19:24:38.212 [info] Getting sessions for all scopes...
2025-10-09 19:24:38.213 [info] Got 1 sessions for ...
2025-10-09 19:24:43.734 [info] Getting sessions for all scopes...
2025-10-09 19:24:43.746 [info] Got 1 sessions for ...
2025-10-09 19:24:48.162 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-10-09 19:24:48.163 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2025-10-09 19:24:54.653 [info] Getting sessions for all scopes...
2025-10-09 19:24:54.653 [info] Got 1 sessions for ...
2025-10-09 19:24:55.759 [info] Getting sessions for all scopes...
2025-10-09 19:24:55.759 [info] Got 1 sessions for ...
2025-10-09 19:24:55.760 [info] Getting sessions for all scopes...
2025-10-09 19:24:55.760 [info] Got 1 sessions for ...
2025-10-09 19:24:55.789 [info] Getting sessions for all scopes...
2025-10-09 19:24:55.789 [info] Got 1 sessions for ...
